"bulan";"product_category_name";"product_category_name_englishh";"jumlah"
"2017-06";"eletrodomesticos_2";"home_appliances_2";6
"2017-06";"fashion_esporte";"fashion_sport";5
"2017-06";"artes";"art";4
"2017-06";"moveis_cozinha_area_de_servico_jantar_e_jardim";"kitchen_dining_laundry_garden_furniture";4
"2017-06";"musica";"music";4
"2017-06";"construcao_ferramentas_jardim";"costruction_tools_garden";4
"2017-06";"dvds_blu_ray";"dvds_blu_ray";4
"2017-06";"fashion_roupa_feminina";"fashio_female_clothing";3
"2017-06";"artigos_de_natal";"christmas_supplies";3
"2017-06";"livros_tecnicos";"books_technical";2
"2017-06";"livros_importados";"books_imported";2
"2017-06";"industria_comercio_e_negocios";"industry_commerce_and_business";2
"2017-06";"moveis_quarto";"furniture_bedroom";2
"2017-06";"alimentos_bebidas";"food_drink";2
"2017-06";"fashion_underwear_e_moda_praia";"fashion_underwear_beach";1
"2017-06";"alimentos";"food";1
"2017-06";"fashion_roupa_infanto_juvenil";"fashion_childrens_clothes";1
"2017-06";"cine_foto";"cine_photo";1
"2017-06";"agro_industria_e_comercio";"agro_industry_and_commerce";1
"2017-06";"bebidas";"drinks";1
"2017-06";"sinalizacao_e_seguranca";"signaling_and_security";1
"2017-06";"casa_conforto_2";"home_comfort_2";1
"2017-06";"pc_gamer";"Unknown";1
"2017-06";"portateis_casa_forno_e_cafe";"small_appliances_home_oven_and_coffee";1
"2017-07";"cama_mesa_banho";"bed_bath_table";569
"2017-07";"esporte_lazer";"sports_leisure";375
"2017-07";"informatica_acessorios";"computers_accessories";320
"2017-07";"moveis_decoracao";"furniture_decor";314
"2017-07";"beleza_saude";"health_beauty";308
"2017-07";"utilidades_domesticas";"housewares";271
"2017-07";"cool_stuff";"cool_stuff";228
"2017-07";"brinquedos";"toys";203
"2017-07";"ferramentas_jardim";"garden_tools";184
"2017-07";"relogios_presentes";"watches_gifts";162
"2017-07";"telefonia";"telephony";143
"2017-07";"bebes";"baby";125
"2017-07";"perfumaria";"perfumery";121
"2017-07";"moveis_escritorio";"office_furniture";115
"2017-07";"automotivo";"auto";114
"2017-07";"eletronicos";"electronics";94
"2017-07";"fashion_bolsas_e_acessorios";"fashion_bags_accessories";86
"2017-07";"pet_shop";"pet_shop";85
"2017-07";"papelaria";"stationery";77
"2017-07";"malas_acessorios";"luggage_accessories";73
"2017-07";"";"Unknown";58
"2017-07";"consoles_games";"consoles_games";47
"2017-07";"casa_conforto";"home_confort";43
"2017-07";"eletrodomesticos";"home_appliances";37
"2017-07";"eletroportateis";"small_appliances";31
"2017-07";"moveis_sala";"furniture_living_room";30
"2017-07";"instrumentos_musicais";"musical_instruments";30
"2017-07";"fashion_calcados";"fashion_shoes";19
"2017-07";"market_place";"market_place";13
"2017-07";"livros_interesse_geral";"books_general_interest";13
"2017-07";"moveis_cozinha_area_de_servico_jantar_e_jardim";"kitchen_dining_laundry_garden_furniture";11
"2017-07";"telefonia_fixa";"fixed_telephony";9
"2017-07";"fashion_roupa_masculina";"fashion_male_clothing";9
"2017-07";"alimentos_bebidas";"food_drink";8
"2017-07";"construcao_ferramentas_jardim";"costruction_tools_garden";8
"2017-07";"alimentos";"food";7
"2017-07";"eletrodomesticos_2";"home_appliances_2";7
"2017-07";"construcao_ferramentas_construcao";"construction_tools_construction";6
"2017-07";"audio";"audio";6
"2017-07";"climatizacao";"air_conditioning";5
"2017-07";"cds_dvds_musicais";"cds_dvds_musicals";5
"2017-07";"sinalizacao_e_seguranca";"signaling_and_security";5
"2017-07";"la_cuisine";"la_cuisine";4
"2017-07";"fashion_roupa_feminina";"fashio_female_clothing";4
"2017-07";"moveis_quarto";"furniture_bedroom";4
"2017-07";"bebidas";"drinks";3
"2017-07";"fashion_underwear_e_moda_praia";"fashion_underwear_beach";3
"2017-07";"artes";"art";3
"2017-07";"dvds_blu_ray";"dvds_blu_ray";3
"2017-07";"artigos_de_natal";"christmas_supplies";2
"2017-07";"casa_construcao";"home_construction";2
"2017-07";"livros_tecnicos";"books_technical";2
"2017-07";"tablets_impressao_imagem";"tablets_printing_image";2
"2017-07";"industria_comercio_e_negocios";"industry_commerce_and_business";2
"2017-07";"artes_e_artesanato";"arts_and_craftmanship";1
